download_id,doi,title,year,open_pdf_url,landing_url,relevance_score,local_file,pdf_valid,page_count,bytes,sha256,signal_pages,nonmonotonic_signal_pages,rendered_pages,error
oa_001,10.1038/s41467-018-06204-2,In-situ cross-linking strategy for efficient and operationally stable methylammoniun lead iodide solar cells,2018,https://www.nature.com/articles/s41467-018-06204-2.pdf,https://doi.org/10.1038/s41467-018-06204-2,34,07_literature/fulltext_open/oa_001__10.1038_s41467-018-06204-2.pdf,True,10,1690251,271daa2aa3d555db823f0656bd5652e974dbb911cdbf25b02f44ff09c54a31e8,1;2;4;5;6;7;8;9;10,1;2;6;8;9;10,07_literature/rendered_relevant_pages/oa_001/page_002.png;07_literature/rendered_relevant_pages/oa_001/page_004.png;07_literature/rendered_relevant_pages/oa_001/page_005.png,
oa_003,10.1038/s41586-024-07705-5,Water- and heat-activated dynamic passivation for perovskite photovoltaics,2024,https://www.nature.com/articles/s41586-024-07705-5.pdf,https://doi.org/10.1038/s41586-024-07705-5,34,07_literature/fulltext_open/oa_003__10.1038_s41586-024-07705-5.pdf,True,11,2708986,cf5d3bd69430904a7d7d08d29a75439761be9827efa3aa2c80e0a53a72ec32f7,1;3;4;5;6;7;8;9;10;11,3;5;6;7;8,07_literature/rendered_relevant_pages/oa_003/page_001.png;07_literature/rendered_relevant_pages/oa_003/page_003.png;07_literature/rendered_relevant_pages/oa_003/page_004.png,
oa_005,10.1038/s41467-025-55815-z,Tailoring pyridine bridged chalcogen-concave molecules for defects passivation enables efficient and stable perovskite solar cells,2025,https://www.nature.com/articles/s41467-025-55815-z.pdf,https://doi.org/10.1038/s41467-025-55815-z,33,07_literature/fulltext_open/oa_005__10.1038_s41467-025-55815-z.pdf,True,11,3559781,571f89e5df0285e4d9904bfaba7b6b1e0c8e027e637062b9e0f3c26eee45f754,1;2;5;6;7;8;9;10,9,07_literature/rendered_relevant_pages/oa_005/page_002.png;07_literature/rendered_relevant_pages/oa_005/page_005.png;07_literature/rendered_relevant_pages/oa_005/page_006.png,
oa_011,10.1038/s41467-025-63176-w,Photo-homogenization assisted segregation easing technique (PHASET) for highly efficient and stable wide-bandgap perovskite solar cells,2025,https://www.nature.com/articles/s41467-025-63176-w.pdf,https://doi.org/10.1038/s41467-025-63176-w,33,07_literature/fulltext_open/oa_011__10.1038_s41467-025-63176-w.pdf,True,11,5500875,eaca1afb3c93c15c47152414486a0326b92cd5cab02f4159cabff933b089101f,1;2;3;4;5;6;7;8;9;10,1;2;3;4;5;6;7;9;10,07_literature/rendered_relevant_pages/oa_011/page_002.png;07_literature/rendered_relevant_pages/oa_011/page_003.png;07_literature/rendered_relevant_pages/oa_011/page_004.png,
oa_013,10.1038/s41467-023-40585-3,Stability follows efficiency based on the analysis of a large perovskite solar cells ageing dataset,2023,https://www.nature.com/articles/s41467-023-40585-3.pdf,https://doi.org/10.1038/s41467-023-40585-3,32,07_literature/fulltext_open/oa_013__10.1038_s41467-023-40585-3.pdf,True,7,1005018,7602977390e78536ea7138fef8bbf9db36fa743e8ca9e0322bb5d6caf6630826,1;2;3;4;5;6;7,1;2;4;5;6,07_literature/rendered_relevant_pages/oa_013/page_002.png;07_literature/rendered_relevant_pages/oa_013/page_003.png;07_literature/rendered_relevant_pages/oa_013/page_004.png,
oa_015,10.1038/s41467-025-65341-7,Ambient blade-coated perovskite solar cells with high reverse bias stability enabled by polymeric hole transporter design,2025,https://www.nature.com/articles/s41467-025-65341-7.pdf,https://doi.org/10.1038/s41467-025-65341-7,32,07_literature/fulltext_open/oa_015__10.1038_s41467-025-65341-7.pdf,True,11,1847401,013b7412bf11de88c8a8fd2984b721dbdbfa333c84dc3216de642590c072e6bf,1;2;4;5;6;7;8;9;10,1;2;4;9,07_literature/rendered_relevant_pages/oa_015/page_002.png;07_literature/rendered_relevant_pages/oa_015/page_004.png;07_literature/rendered_relevant_pages/oa_015/page_005.png,
oa_018,10.1038/s41598-023-33473-9,Self-healing perovskite solar cells based on copolymer-templated TiO2 electron transport layer,2023,https://www.nature.com/articles/s41598-023-33473-9.pdf,https://doi.org/10.1038/s41598-023-33473-9,30,07_literature/fulltext_open/oa_018__10.1038_s41598-023-33473-9.pdf,True,14,3876436,580c1265ab62709181860aa38c041098e0cb7e6760c95e23f5c95e0c5d2c5182,1;2;5;7;8;9;12;13,1;2;5;7;8;9;13,07_literature/rendered_relevant_pages/oa_018/page_002.png;07_literature/rendered_relevant_pages/oa_018/page_005.png;07_literature/rendered_relevant_pages/oa_018/page_007.png,
oa_023,10.1038/s41467-020-15338-1,Regulating strain in perovskite thin films through charge-transport layers,2020,https://www.nature.com/articles/s41467-020-15338-1.pdf,https://doi.org/10.1038/s41467-020-15338-1,28,07_literature/fulltext_open/oa_023__10.1038_s41467-020-15338-1.pdf,True,8,1998969,ab25f6b6b001e6b133e646b7b7b7046aa56f216a0f7efca14992852b3285ca26,1;2;5;6;7,,07_literature/rendered_relevant_pages/oa_023/page_002.png;07_literature/rendered_relevant_pages/oa_023/page_005.png;07_literature/rendered_relevant_pages/oa_023/page_006.png,
oa_025,10.1038/s41598-017-04690-w,Investigation of Thermally Induced Degradation in CH3NH3PbI3 Perovskite Solar Cells using In-situ Synchrotron Radiation Analysis,2017,https://www.nature.com/articles/s41598-017-04690-w.pdf,https://doi.org/10.1038/s41598-017-04690-w,28,07_literature/fulltext_open/oa_025__10.1038_s41598-017-04690-w.pdf,True,9,3097231,7fe09ebe48839e874a94c4a21ba71e557f0efaabb16dec096896bce4361dc2b5,1;2;3;4;5;6;7;8,1;2;4;6;8,07_literature/rendered_relevant_pages/oa_025/page_002.png;07_literature/rendered_relevant_pages/oa_025/page_003.png;07_literature/rendered_relevant_pages/oa_025/page_004.png,
oa_026,10.1038/s41467-019-13998-2,Efficient lateral-structure perovskite single crystal solar cells with high operational stability,2020,https://www.nature.com/articles/s41467-019-13998-2.pdf,https://doi.org/10.1038/s41467-019-13998-2,28,07_literature/fulltext_open/oa_026__10.1038_s41467-019-13998-2.pdf,True,8,1328969,7ac21e08793aec0764c25f1f89ec8c739c6c2b33ec7ec6dbbd093974ccd15c0e,1;2;3;5;6;7;8,3;7,07_literature/rendered_relevant_pages/oa_026/page_002.png;07_literature/rendered_relevant_pages/oa_026/page_003.png;07_literature/rendered_relevant_pages/oa_026/page_005.png,
