doi,year,topic,key_finding,project_implication,fulltext_local
10.1038/s41467-023-40585-3,2023,SOM curve clustering,"Uses normalized complete MPPT curves and selects four clusters from QE elbow plus visual shape overlap; published classes are initial gain and slow/medium/fast exponential decay.",This is the only direct authority for the implemented SOM and parameter whitelist.,yes
10.3389/fenrg.2023.1118654,2023,data quality and FOM,"A single stability number cannot capture diverse ageing curves; complete curves and complete experimental metadata are needed.",Missing DOI/figure provenance in samples_test is a material limitation.,yes
10.1038/s41467-022-35400-4,2022,burn-in and TS80m,"Literature stability data are heterogeneous and burn-in complicates T80; TS80/TS80m require assumptions.",Do not replace full-curve clustering with a forced lifetime threshold.,yes
10.1039/d3ta05966a,2024,large database ML,"Uses 6038 stability/device entries and reports architecture-dependent model performance.",Useful context but it adds device variables and therefore is not imported into the present SOM.,no
10.1016/j.egyai.2025.100503,2025,frontier database ML,"Reports poor stability prediction because measurements are non-standardized and data are insufficient.",Supports prioritizing provenance and comparable curves over more tuning.,no
10.1021/acsenergylett.4c00328,2024,trajectory forecasting,"Wavelet-aided ML links accelerated indoor tests to long-term outdoor performance.",Forecasting is a separate future task and is not used to alter unsupervised clustering.,no
10.1021/acsenergylett.4c01943,2024,diurnal degradation and recovery,"Two-year outdoor monitoring finds diurnal degradation/recovery and dark-storage recovery dynamics.",Provides a physical precedent for non-monotonic individual curves.,no
10.1002/aenm.202304452,2024,light-soaking recovery,"Outdoor devices show nighttime loss followed by light-soaking recovery over hours to a day.",Directly supports treating Valley/Hill-like recovery as physically plausible.,yes
10.1002/aenm.202501906,2025,seasonality,"Four-year outdoor data show up to 30% seasonal variation and light-soaking saturation exceeding 24 h.",Long curves can mix ageing with metastability and seasonality; testing context must be retained.,yes
10.1038/s41586-024-08161-x,2024,day-night fatigue,"Continuous and cycling illumination produce different decay rates; dark periods can partially recover PCE.",Curve shape is protocol-dependent and cannot be treated as a mechanism label by itself.,yes
10.1021/acsaem.1c00588,2021,bias-dependent recovery,"Degradation and recovery kinetics change with electrical bias and dark recovery.",Supports non-monotonic morphology but also warns that operating condition matters.,yes
10.1002/adma.202110239,2022,self-healing and light soaking,"Reports self-healing/light-soaking behavior and dependence on water exposure.",Provides mechanistic context for gain/recovery segments.,yes
10.1002/ente.202200234,2022,high-throughput MPPT,"Describes parallel individual MPPT ageing acquisition.",Explains why the source paper's homogeneous dataset is much denser than figure-digitized samples_test.,no
10.1149/2162-8777/ac6f1d,2022,measurement comparability,"Round-robin study addresses maximum-power measurement of metastable PSCs.",Measurement procedure is a source of between-paper curve variation.,yes
10.1038/s41560-019-0529-5,2020,ISOS consensus,"Documents non-monotonic PCE-time profiles, burn-in, light/dark cycling and recovery reporting.",Foundational protocol authority retained despite falling just outside the recent-search window.,no
10.3390/asi9060116,2026,frontier degradation forecasting,"Benchmarks direct regression against more complex trajectory forecasting using SOM-derived modes.",Recent adjacent work; it does not supply a new unsupervised taxonomy or justify target-driven clustering changes.,no
