parameter,pipeline_stage,implementation_value,source_document,source_location,source_supported_values_or_rule,status,notes
analysis_window_hours,eligibility_and_truncation,150,work.md; Supplementary.md,work.md:34-51 and 211; Supplementary.md:301-313,"150 primary; 300 and 500 also analysed as cutoff-time sensitivity",whitelisted,"150 h is the primary SOM window; 300/500 h are sensitivity windows needed to observe post-200 h behaviour; never use target-shape success to choose a window"
resample_interval,preprocessing,10 minutes,work.md,work.md:211,10 minutes,fixed,"Published preprocessing step; digitized points will be interpolated to the same uniform grid"
interpolation,preprocessing,Akima,work.md; revision_10 notebook,work.md:211; notebook cell 27,Akima,fixed,"No alternative interpolation method admitted"
normalization,preprocessing,MaxAbsScaler,work.md; revision_11 notebook,work.md:211; notebook cells 10-11,MaxAbsScaler,fixed,"Per-curve normalization by maximum; MinMax is mentioned in code but is not used in the published workflow"
savgol_window,preprocessing,71 points,work.md; revision_11 notebook,work.md:211; notebook cells 16-17,"71 selected; 201 was inspected in notebook but rejected",fixed,"Keep 71 in primary and sensitivity runs; do not tune smoothing to obtain target shapes"
savgol_polyorder,preprocessing,2,revision_11 notebook,notebook cells 16-17,2,fixed,"No published alternative used"
som_sigma,model,0.5,work.md; Supplementary Fig. 7,work.md:138 and Supplementary.md:222,"0.5 baseline; 0.3 with learning_rate=0.1 sensitivity",whitelisted,"Only run documented (sigma learning_rate) pairs"
som_learning_rate,model,0.1,work.md; Supplementary Fig. 7,work.md:138 and Supplementary.md:222,"0.1 baseline; 0.3 with sigma=0.5 sensitivity",whitelisted,"Only run documented (sigma learning_rate) pairs"
som_hyperparameter_pair,model,"(0.5,0.1)",Supplementary Fig. 7,Supplementary.pdf p.12,"(0.5,0.1); (0.3,0.1); (0.5,0.3)",whitelisted,"Do not infer the undocumented cross-product pair (0.3,0.3)"
training_iterations,model,50000,revision_11 notebook,notebook cell 39,50000,fixed,"Companion-code value; not a tuning dimension"
cluster_count,model_selection,not fixed,Supplementary Figs. 6 and 13-17,Supplementary.md:214-216 and 315-358,"evaluate n=2..10; use QE elbow plus distinct/non-overlapping main shapes",whitelisted,"Paper says candidate optimum 4-6 for its dataset and selects 4; the new dataset must be judged independently"
diagnostic_cluster_count,post_selection_diagnostic,16,Supplementary Fig. 1,Supplementary.pdf p.2,16,diagnostic_only,"Published high-resolution overview; cannot be called optimal or used to override the n=2..10 selection rule"
som_grid_geometry,model_selection,closest rectangular factorization,Supplementary Figs. 15-17,Supplementary.pdf p.18,"1x2 for n=2; 1x5 for n=5; 2x3 for n=6 shown by output layout",restricted,"Use closest factor pair for each n and record geometry; transpose is a robustness repeat, not a target-seeking choice"
random_initialization,reproducibility,fixed pre-registered seeds,revision_11 notebook; local run_pipeline.py,notebook cell 39; run_pipeline.py:244-246,"Original notebook unseeded; local pipeline uses random_seed=42",control_only,"Seeds are repetitions for stability and may not be selected by target-shape appearance"
kmeans_dtw,validation_only,not SOM input,Supplementary Fig. 8,Supplementary.md:423-425,k-means with DTW/barycenter as cross-method check,validation_only,"Do not replace or steer SOM with k-means"
