doi,title,evidence_type,observed_curve_behavior,relation_to_target_shapes,eligible_to_modify_current_som,reason
10.1038/s41467-023-40585-3,Stability follows efficiency based on the analysis of a large perovskite solar cells ageing dataset,full_text_and_figure_review,"SOM yields initial gain plus slow, medium, and fast exponential decay over 0-150 h",Slope and weak Bridge-like ingredients only,no,"This is the governing method; it does not define IFO names or Hill/Valley classes"
10.1038/s41467-018-06204-2,In-situ cross-linking strategy for efficient and operationally stable methylammoniun lead iodide solar cells,full_text_and_figure_review,"Fig. 5 contains rapid early burn-in followed by a long slow/flat tail and ordinary gradual decay",Strong Slope example,no,"Individual experimental curves are evidence only; not an additional training variable or clustering rule"
10.1038/s41586-024-07705-5,Water- and heat-activated dynamic passivation for perovskite photovoltaics,full_text_and_figure_review,"MPPT curves show a slight early increase followed by slow decay for treated devices",Weak Bridge-like example,no,"Treatment-specific individual curves; no four-shape taxonomy"
10.1038/s41467-025-63176-w,Photo-homogenization assisted segregation easing technique (PHASET) for highly efficient and stable wide-bandgap perovskite solar cells,full_text_and_figure_review,"Film recovery is created through light soaking followed by dark rest; continuous operational PCE curves are monotonic",Recovery mechanism but not a natural Valley class,no,"Light/dark processing is an intervention excluded by the user constraint"
10.1038/s41598-023-33473-9,Self-healing perovskite solar cells based on copolymer-templated TiO2 electron transport layer,full_text_and_figure_review,"Sparse day-scale measurements drop from 11.08% to 7.17% then recover to 11.27% by day 90",Valley-like discrete trajectory,no,"Sparse discrete measurements and moisture/self-healing context; not a continuous natural SOM class"
10.1038/srep38150,UV Degradation and Recovery of Perovskite Solar Cells,web_full_text_review,"PCE falls under UV and recovers under 1-sun light soaking; repeated degradation/recovery cycles",Valley/recovery ingredient,no,"Alternating UV and 1-sun illumination actively drives the topology"
10.1021/acsaem.7b00256,Dynamics of Photoinduced Degradation of Perovskite Photovoltaics: From Reversible to Irreversible Processes,web_source_review,"Light soaking and dark storage produce recovery and fatigue across cycles",Hill/Valley ingredients,no,"Condition switching is an external intervention and the paper does not define IFO classes"
10.1038/ncomms11574,Light-activated photocurrent degradation and self-healing in perovskite solar cells,web_full_text_review,"Photodegradation is followed by fast and slow recovery while the device rests in dark",Recovery ingredient,no,"Dark-rest recovery is not a continuously aged natural cluster"
10.1038/s41560-019-0529-5,Consensus statement for stability assessment and reporting for perovskite photovoltaics based on ISOS procedures,web_full_text_review,"Documents both photo-induced PCE increase followed by dark decrease and photo-induced degradation followed by dark recovery",Confirms multiple nonmonotonic dynamics,no,"A reporting consensus, not an IFO taxonomy or permission to add protocol variables"
10.1002/aenm.202304452,From Sunrise to Sunset: Unraveling Metastability in Perovskite Solar Cells by Coupled Outdoor Testing and Energy Yield Modelling,web_full_text_review,"Nighttime degradation and subsequent morning light-soaking recovery create diurnal trajectories",Valley-like outdoor cycles,no,"Day/night cycling is an environmental forcing variable absent from the strict SOM input"
